"trainer/global_step","cn-lr0001 - _step","cn-lr0001 - _step__MIN","cn-lr0001 - _step__MAX","cn-lr0001 - val_loss","cn-lr0001 - val_loss__MIN","cn-lr0001 - val_loss__MAX","cn-lr0005 - _step","cn-lr0005 - _step__MIN","cn-lr0005 - _step__MAX","cn-lr0005 - val_loss","cn-lr0005 - val_loss__MIN","cn-lr0005 - val_loss__MAX","cn-lr001 - _step","cn-lr001 - _step__MIN","cn-lr001 - _step__MAX","cn-lr001 - val_loss","cn-lr001 - val_loss__MIN","cn-lr001 - val_loss__MAX","linear-lr0001 - _step","linear-lr0001 - _step__MIN","linear-lr0001 - _step__MAX","linear-lr0001 - val_loss","linear-lr0001 - val_loss__MIN","linear-lr0001 - val_loss__MAX","linear-lr0005 - _step","linear-lr0005 - _step__MIN","linear-lr0005 - _step__MAX","linear-lr0005 - val_loss","linear-lr0005 - val_loss__MIN","linear-lr0005 - val_loss__MAX","conv-lr0001 - _step","conv-lr0001 - _step__MIN","conv-lr0001 - _step__MAX","conv-lr0001 - val_loss","conv-lr0001 - val_loss__MIN","conv-lr0001 - val_loss__MAX","conv-lr0005 - _step","conv-lr0005 - _step__MIN","conv-lr0005 - _step__MAX","conv-lr0005 - val_loss","conv-lr0005 - val_loss__MIN","conv-lr0005 - val_loss__MAX","conv-lr001 - _step","conv-lr001 - _step__MIN","conv-lr001 - _step__MAX","conv-lr001 - val_loss","conv-lr001 - val_loss__MIN","conv-lr001 - val_loss__MAX","linear-lr001 - _step","linear-lr001 - _step__MIN","linear-lr001 - _step__MAX","linear-lr001 - val_loss","linear-lr001 - val_loss__MIN","linear-lr001 - val_loss__MAX"
"3882","165","165","165","0.14770247042179108","0.14770247042179108","0.14770247042179108","165","165","165","0.13207629323005676","0.13207629323005676","0.13207629323005676","165","165","165","0.1292608678340912","0.1292608678340912","0.1292608678340912","165","165","165","0.13442283868789673","0.13442283868789673","0.13442283868789673","165","165","165","0.12610842287540436","0.12610842287540436","0.12610842287540436","165","165","165","0.13632957637310028","0.13632957637310028","0.13632957637310028","165","165","165","0.12701010704040527","0.12701010704040527","0.12701010704040527","165","165","165","0.1254233568906784","0.1254233568906784","0.1254233568906784","165","165","165","0.12338408827781677","0.12338408827781677","0.12338408827781677"
"4235","180","180","180","0.14646339416503906","0.14646339416503906","0.14646339416503906","180","180","180","0.13145017623901367","0.13145017623901367","0.13145017623901367","180","180","180","0.12897542119026184","0.12897542119026184","0.12897542119026184","180","180","180","0.13284830749034882","0.13284830749034882","0.13284830749034882","180","180","180","0.12565824389457703","0.12565824389457703","0.12565824389457703","180","180","180","0.13572752475738525","0.13572752475738525","0.13572752475738525","180","180","180","0.12648145854473114","0.12648145854473114","0.12648145854473114","180","180","180","0.12508945167064667","0.12508945167064667","0.12508945167064667","180","180","180","0.12323867529630661","0.12323867529630661","0.12323867529630661"
"4588","195","195","195","0.14533168077468872","0.14533168077468872","0.14533168077468872","195","195","195","0.13098546862602234","0.13098546862602234","0.13098546862602234","195","195","195","0.12864750623703003","0.12864750623703003","0.12864750623703003","195","195","195","0.1316702514886856","0.1316702514886856","0.1316702514886856","195","195","195","0.12514333426952362","0.12514333426952362","0.12514333426952362","195","195","195","0.13519293069839478","0.13519293069839478","0.13519293069839478","195","195","195","0.12616723775863647","0.12616723775863647","0.12616723775863647","195","195","195","0.12482897937297821","0.12482897937297821","0.12482897937297821","195","195","195","0.12257207930088043","0.12257207930088043","0.12257207930088043"
"4941","210","210","210","0.1442398875951767","0.1442398875951767","0.1442398875951767","210","210","210","0.1305544227361679","0.1305544227361679","0.1305544227361679","210","210","210","0.12831737101078033","0.12831737101078033","0.12831737101078033","210","210","210","0.1308058500289917","0.1308058500289917","0.1308058500289917","210","210","210","0.12475123256444931","0.12475123256444931","0.12475123256444931","210","210","210","0.13472631573677063","0.13472631573677063","0.13472631573677063","210","210","210","0.12577861547470093","0.12577861547470093","0.12577861547470093","210","210","210","0.12477917969226837","0.12477917969226837","0.12477917969226837","210","210","210","0.12237832695245743","0.12237832695245743","0.12237832695245743"
"5294","225","225","225","0.14323802292346954","0.14323802292346954","0.14323802292346954","225","225","225","0.13011576235294342","0.13011576235294342","0.13011576235294342","225","225","225","0.12804833054542542","0.12804833054542542","0.12804833054542542","225","225","225","0.13013577461242676","0.13013577461242676","0.13013577461242676","225","225","225","0.12442293763160706","0.12442293763160706","0.12442293763160706","225","225","225","0.1342994123697281","0.1342994123697281","0.1342994123697281","225","225","225","0.12550847232341766","0.12550847232341766","0.12550847232341766","225","225","225","0.12444280833005905","0.12444280833005905","0.12444280833005905","225","225","225","0.12234847992658615","0.12234847992658615","0.12234847992658615"
"5647","240","240","240","0.14237405359745026","0.14237405359745026","0.14237405359745026","240","240","240","0.12988650798797607","0.12988650798797607","0.12988650798797607","240","240","240","0.12796039879322052","0.12796039879322052","0.12796039879322052","240","240","240","0.1295892894268036","0.1295892894268036","0.1295892894268036","240","240","240","0.12424615025520325","0.12424615025520325","0.12424615025520325","240","240","240","0.13397635519504547","0.13397635519504547","0.13397635519504547","240","240","240","0.1252981573343277","0.1252981573343277","0.1252981573343277","240","240","240","0.1241716742515564","0.1241716742515564","0.1241716742515564","240","240","240","0.12182784825563431","0.12182784825563431","0.12182784825563431"
"6000","256","256","256","0.14152544736862183","0.14152544736862183","0.14152544736862183","256","256","256","0.12958835065364838","0.12958835065364838","0.12958835065364838","256","256","256","0.1276567578315735","0.1276567578315735","0.1276567578315735","256","256","256","0.12915103137493134","0.12915103137493134","0.12915103137493134","256","256","256","0.12402550876140594","0.12402550876140594","0.12402550876140594","256","256","256","0.13362452387809753","0.13362452387809753","0.13362452387809753","256","256","256","0.12509316205978394","0.12509316205978394","0.12509316205978394","256","256","256","0.12437469512224197","0.12437469512224197","0.12437469512224197","256","256","256","0.12175634503364563","0.12175634503364563","0.12175634503364563"
"6353","271","271","271","0.1407957226037979","0.1407957226037979","0.1407957226037979","271","271","271","0.129264697432518","0.129264697432518","0.129264697432518","271","271","271","0.12747544050216675","0.12747544050216675","0.12747544050216675","271","271","271","0.12877149879932404","0.12877149879932404","0.12877149879932404","271","271","271","0.12381335347890854","0.12381335347890854","0.12381335347890854","271","271","271","0.13337089121341705","0.13337089121341705","0.13337089121341705","271","271","271","0.12488049268722534","0.12488049268722534","0.12488049268722534","271","271","271","0.12391113489866257","0.12391113489866257","0.12391113489866257","271","271","271","0.1215248852968216","0.1215248852968216","0.1215248852968216"
"6706","286","286","286","0.14013077318668365","0.14013077318668365","0.14013077318668365","286","286","286","0.12899711728096008","0.12899711728096008","0.12899711728096008","286","286","286","0.12736403942108154","0.12736403942108154","0.12736403942108154","286","286","286","0.12848103046417236","0.12848103046417236","0.12848103046417236","286","286","286","0.12372764199972153","0.12372764199972153","0.12372764199972153","286","286","286","0.1330619603395462","0.1330619603395462","0.1330619603395462","286","286","286","0.12481220811605453","0.12481220811605453","0.12481220811605453","286","286","286","0.1237645074725151","0.1237645074725151","0.1237645074725151","286","286","286","0.12139837443828583","0.12139837443828583","0.12139837443828583"
"7059","301","301","301","0.13950802385807037","0.13950802385807037","0.13950802385807037","301","301","301","0.12884598970413208","0.12884598970413208","0.12884598970413208","301","301","301","0.1271086037158966","0.1271086037158966","0.1271086037158966","301","301","301","0.12823398411273956","0.12823398411273956","0.12823398411273956","301","301","301","0.12337035685777664","0.12337035685777664","0.12337035685777664","301","301","301","0.1328255981206894","0.1328255981206894","0.1328255981206894","301","301","301","0.12463568150997162","0.12463568150997162","0.12463568150997162","301","301","301","0.1235731691122055","0.1235731691122055","0.1235731691122055","301","301","301","0.12120576202869415","0.12120576202869415","0.12120576202869415"
"7412","316","316","316","0.1389693319797516","0.1389693319797516","0.1389693319797516","316","316","316","0.1287151426076889","0.1287151426076889","0.1287151426076889","316","316","316","0.1269652098417282","0.1269652098417282","0.1269652098417282","316","316","316","0.12794391810894012","0.12794391810894012","0.12794391810894012","316","316","316","0.12325863540172577","0.12325863540172577","0.12325863540172577","316","316","316","0.13257232308387756","0.13257232308387756","0.13257232308387756","316","316","316","0.12445876002311707","0.12445876002311707","0.12445876002311707","316","316","316","0.12345576286315918","0.12345576286315918","0.12345576286315918","316","316","316","0.12105683237314224","0.12105683237314224","0.12105683237314224"
"7765","331","331","331","0.13849091529846191","0.13849091529846191","0.13849091529846191","331","331","331","0.128546804189682","0.128546804189682","0.128546804189682","331","331","331","0.1272512674331665","0.1272512674331665","0.1272512674331665","331","331","331","0.12774187326431274","0.12774187326431274","0.12774187326431274","331","331","331","0.12307044863700867","0.12307044863700867","0.12307044863700867","331","331","331","0.132355734705925","0.132355734705925","0.132355734705925","331","331","331","0.12427085638046265","0.12427085638046265","0.12427085638046265","331","331","331","0.12326984852552414","0.12326984852552414","0.12326984852552414","331","331","331","0.12092450261116028","0.12092450261116028","0.12092450261116028"
"8118","346","346","346","0.1380472183227539","0.1380472183227539","0.1380472183227539","346","346","346","0.128325954079628","0.128325954079628","0.128325954079628","346","346","346","0.12660494446754456","0.12660494446754456","0.12660494446754456","346","346","346","0.12752428650856018","0.12752428650856018","0.12752428650856018","346","346","346","0.12286148220300674","0.12286148220300674","0.12286148220300674","346","346","346","0.13215968012809753","0.13215968012809753","0.13215968012809753","346","346","346","0.12419875711202621","0.12419875711202621","0.12419875711202621","346","346","346","0.1231360211968422","0.1231360211968422","0.1231360211968422","346","346","346","0.1214747354388237","0.1214747354388237","0.1214747354388237"
"8471","361","361","361","0.13766133785247803","0.13766133785247803","0.13766133785247803","361","361","361","0.128190279006958","0.128190279006958","0.128190279006958","361","361","361","0.1265059858560562","0.1265059858560562","0.1265059858560562","361","361","361","0.12735122442245483","0.12735122442245483","0.12735122442245483","361","361","361","0.1227034404873848","0.1227034404873848","0.1227034404873848","361","361","361","0.13192158937454224","0.13192158937454224","0.13192158937454224","361","361","361","0.12408100068569183","0.12408100068569183","0.12408100068569183","361","361","361","0.1231532096862793","0.1231532096862793","0.1231532096862793","361","361","361","0.12069021165370941","0.12069021165370941","0.12069021165370941"
"8824","377","377","377","0.13730917870998383","0.13730917870998383","0.13730917870998383","377","377","377","0.12803277373313904","0.12803277373313904","0.12803277373313904","377","377","377","0.1267998069524765","0.1267998069524765","0.1267998069524765","377","377","377","0.12716242671012878","0.12716242671012878","0.12716242671012878","377","377","377","0.12274060398340225","0.12274060398340225","0.12274060398340225","377","377","377","0.13173307478427887","0.13173307478427887","0.13173307478427887","377","377","377","0.12393761426210403","0.12393761426210403","0.12393761426210403","377","377","377","0.12290114164352417","0.12290114164352417","0.12290114164352417","377","377","377","0.12093803286552429","0.12093803286552429","0.12093803286552429"
"9177","392","392","392","0.1369384080171585","0.1369384080171585","0.1369384080171585","392","392","392","0.12795084714889526","0.12795084714889526","0.12795084714889526","392","392","392","0.12638959288597107","0.12638959288597107","0.12638959288597107","392","392","392","0.12698593735694885","0.12698593735694885","0.12698593735694885","392","392","392","0.12250179797410965","0.12250179797410965","0.12250179797410965","392","392","392","0.1315803974866867","0.1315803974866867","0.1315803974866867","392","392","392","0.12386853247880936","0.12386853247880936","0.12386853247880936","392","392","392","0.1228526309132576","0.1228526309132576","0.1228526309132576","392","392","392","0.12062482535839081","0.12062482535839081","0.12062482535839081"
"9530","407","407","407","0.13667453825473785","0.13667453825473785","0.13667453825473785","407","407","407","0.12781338393688202","0.12781338393688202","0.12781338393688202","407","407","407","0.126353919506073","0.126353919506073","0.126353919506073","407","407","407","0.12682828307151794","0.12682828307151794","0.12682828307151794","407","407","407","0.12236788123846054","0.12236788123846054","0.12236788123846054","407","407","407","0.13138869404792786","0.13138869404792786","0.13138869404792786","407","407","407","0.12378361821174622","0.12378361821174622","0.12378361821174622","407","407","407","0.12277871370315552","0.12277871370315552","0.12277871370315552","407","407","407","0.12047713249921799","0.12047713249921799","0.12047713249921799"
"9883","422","422","422","0.1363794356584549","0.1363794356584549","0.1363794356584549","422","422","422","0.12770754098892212","0.12770754098892212","0.12770754098892212","422","422","422","0.1261308342218399","0.1261308342218399","0.1261308342218399","422","422","422","0.12667815387248993","0.12667815387248993","0.12667815387248993","422","422","422","0.12224658578634262","0.12224658578634262","0.12224658578634262","422","422","422","0.13124454021453857","0.13124454021453857","0.13124454021453857","422","422","422","0.12372075021266937","0.12372075021266937","0.12372075021266937","422","422","422","0.1226418986916542","0.1226418986916542","0.1226418986916542","422","422","422","0.12120522558689117","0.12120522558689117","0.12120522558689117"
"10236","437","437","437","0.1361040621995926","0.1361040621995926","0.1361040621995926","437","437","437","0.12757067382335663","0.12757067382335663","0.12757067382335663","437","437","437","0.12624402344226837","0.12624402344226837","0.12624402344226837","437","437","437","0.1265731006860733","0.1265731006860733","0.1265731006860733","437","437","437","0.12210414558649063","0.12210414558649063","0.12210414558649063","437","437","437","0.13106589019298553","0.13106589019298553","0.13106589019298553","437","437","437","0.12364761531352997","0.12364761531352997","0.12364761531352997","437","437","437","0.12254349887371063","0.12254349887371063","0.12254349887371063","437","437","437","0.12016873806715012","0.12016873806715012","0.12016873806715012"
"10589","452","452","452","0.13587601482868195","0.13587601482868195","0.13587601482868195","452","452","452","0.12745216488838196","0.12745216488838196","0.12745216488838196","452","452","452","0.12596869468688965","0.12596869468688965","0.12596869468688965","452","452","452","0.12640273571014404","0.12640273571014404","0.12640273571014404","452","452","452","0.12199726700782776","0.12199726700782776","0.12199726700782776","452","452","452","0.1309155821800232","0.1309155821800232","0.1309155821800232","452","452","452","0.12353520840406418","0.12353520840406418","0.12353520840406418","452","452","452","0.12248300015926361","0.12248300015926361","0.12248300015926361","452","452","452","0.12011810392141342","0.12011810392141342","0.12011810392141342"
"10942","467","467","467","0.13561810553073883","0.13561810553073883","0.13561810553073883","467","467","467","0.1273992508649826","0.1273992508649826","0.1273992508649826","467","467","467","0.12606140971183777","0.12606140971183777","0.12606140971183777","467","467","467","0.1262437105178833","0.1262437105178833","0.1262437105178833","467","467","467","0.1219022125005722","0.1219022125005722","0.1219022125005722","467","467","467","0.13081982731819153","0.13081982731819153","0.13081982731819153","467","467","467","0.12353574484586716","0.12353574484586716","0.12353574484586716","467","467","467","0.12252860516309738","0.12252860516309738","0.12252860516309738","467","467","467","0.1200663298368454","0.1200663298368454","0.1200663298368454"
"11295","482","482","482","0.13538311421871185","0.13538311421871185","0.13538311421871185","482","482","482","0.1273370087146759","0.1273370087146759","0.1273370087146759","482","482","482","0.12593919038772583","0.12593919038772583","0.12593919038772583","482","482","482","0.12612707912921906","0.12612707912921906","0.12612707912921906","482","482","482","0.121834397315979","0.121834397315979","0.121834397315979","482","482","482","0.13063950836658478","0.13063950836658478","0.13063950836658478","482","482","482","0.12339410185813904","0.12339410185813904","0.12339410185813904","482","482","482","0.12234853208065033","0.12234853208065033","0.12234853208065033","482","482","482","0.120069220662117","0.120069220662117","0.120069220662117"
"11648","497","497","497","0.13516820967197418","0.13516820967197418","0.13516820967197418","497","497","497","0.12725301086902618","0.12725301086902618","0.12725301086902618","497","497","497","0.1260925978422165","0.1260925978422165","0.1260925978422165","497","497","497","0.12601454555988312","0.12601454555988312","0.12601454555988312","497","497","497","0.12176334857940674","0.12176334857940674","0.12176334857940674","497","497","497","0.13054512441158295","0.13054512441158295","0.13054512441158295","497","497","497","0.12328991293907166","0.12328991293907166","0.12328991293907166","497","497","497","0.12233912199735641","0.12233912199735641","0.12233912199735641","497","497","497","0.11981550604104996","0.11981550604104996","0.11981550604104996"
"12001","513","513","513","0.1349169760942459","0.1349169760942459","0.1349169760942459","513","513","513","0.1271289885044098","0.1271289885044098","0.1271289885044098","513","513","513","0.12574416399002075","0.12574416399002075","0.12574416399002075","513","513","513","0.12583374977111816","0.12583374977111816","0.12583374977111816","513","513","513","0.12161368876695633","0.12161368876695633","0.12161368876695633","513","513","513","0.1303997039794922","0.1303997039794922","0.1303997039794922","513","513","513","0.12323020398616791","0.12323020398616791","0.12323020398616791","513","513","513","0.12234672904014587","0.12234672904014587","0.12234672904014587","513","513","513","0.1199406087398529","0.1199406087398529","0.1199406087398529"
"12354","528","528","528","0.13469287753105164","0.13469287753105164","0.13469287753105164","528","528","528","0.12711197137832642","0.12711197137832642","0.12711197137832642","528","528","528","0.12571552395820618","0.12571552395820618","0.12571552395820618","528","528","528","0.12573431432247162","0.12573431432247162","0.12573431432247162","528","528","528","0.1215645968914032","0.1215645968914032","0.1215645968914032","528","528","528","0.13025934994220734","0.13025934994220734","0.13025934994220734","528","528","528","0.12324875593185425","0.12324875593185425","0.12324875593185425","528","528","528","0.12212434411048889","0.12212434411048889","0.12212434411048889","528","528","528","0.11980850994586945","0.11980850994586945","0.11980850994586945"
"12707","543","543","543","0.13451924920082092","0.13451924920082092","0.13451924920082092","543","543","543","0.12694057822227478","0.12694057822227478","0.12694057822227478","543","543","543","0.12582312524318695","0.12582312524318695","0.12582312524318695","543","543","543","0.12560641765594482","0.12560641765594482","0.12560641765594482","543","543","543","0.12143624573945999","0.12143624573945999","0.12143624573945999","543","543","543","0.13015657663345337","0.13015657663345337","0.13015657663345337","543","543","543","0.12312964349985123","0.12312964349985123","0.12312964349985123","543","543","543","0.12202252447605133","0.12202252447605133","0.12202252447605133","543","543","543","0.11965322494506836","0.11965322494506836","0.11965322494506836"
"13060","558","558","558","0.13427740335464478","0.13427740335464478","0.13427740335464478","558","558","558","0.12703581154346466","0.12703581154346466","0.12703581154346466","558","558","558","0.12562382221221924","0.12562382221221924","0.12562382221221924","558","558","558","0.12547782063484192","0.12547782063484192","0.12547782063484192","558","558","558","0.12136130034923553","0.12136130034923553","0.12136130034923553","558","558","558","0.12999227643013","0.12999227643013","0.12999227643013","558","558","558","0.12306592613458633","0.12306592613458633","0.12306592613458633","558","558","558","0.1219802126288414","0.1219802126288414","0.1219802126288414","558","558","558","0.1195351779460907","0.1195351779460907","0.1195351779460907"
"13413","573","573","573","0.13409647345542908","0.13409647345542908","0.13409647345542908","573","573","573","0.12686945497989655","0.12686945497989655","0.12686945497989655","573","573","573","0.12553979456424713","0.12553979456424713","0.12553979456424713","573","573","573","0.12531884014606476","0.12531884014606476","0.12531884014606476","573","573","573","0.12128622829914093","0.12128622829914093","0.12128622829914093","573","573","573","0.12990860641002655","0.12990860641002655","0.12990860641002655","573","573","573","0.12305714935064316","0.12305714935064316","0.12305714935064316","573","573","573","0.12215562164783478","0.12215562164783478","0.12215562164783478","573","573","573","0.11961974948644638","0.11961974948644638","0.11961974948644638"
"13766","588","588","588","0.13391584157943726","0.13391584157943726","0.13391584157943726","588","588","588","0.12675152719020844","0.12675152719020844","0.12675152719020844","588","588","588","0.12574701011180878","0.12574701011180878","0.12574701011180878","588","588","588","0.1251642405986786","0.1251642405986786","0.1251642405986786","588","588","588","0.12121012806892395","0.12121012806892395","0.12121012806892395","588","588","588","0.129751056432724","0.129751056432724","0.129751056432724","588","588","588","0.12298451364040375","0.12298451364040375","0.12298451364040375","588","588","588","0.12189389020204544","0.12189389020204544","0.12189389020204544","588","588","588","0.11934716254472733","0.11934716254472733","0.11934716254472733"
"14119","603","603","603","0.13376297056674957","0.13376297056674957","0.13376297056674957","603","603","603","0.1267562359571457","0.1267562359571457","0.1267562359571457","603","603","603","0.12541845440864563","0.12541845440864563","0.12541845440864563","603","603","603","0.12502866983413696","0.12502866983413696","0.12502866983413696","603","603","603","0.12108942121267319","0.12108942121267319","0.12108942121267319","603","603","603","0.1296531856060028","0.1296531856060028","0.1296531856060028","603","603","603","0.12292919307947159","0.12292919307947159","0.12292919307947159","603","603","603","0.12195756286382675","0.12195756286382675","0.12195756286382675","603","603","603","0.11927798390388489","0.11927798390388489","0.11927798390388489"
