"trainer/global_step","linear-lr001-d64 - _step","linear-lr001-d64 - _step__MIN","linear-lr001-d64 - _step__MAX","linear-lr001-d64 - val_loss","linear-lr001-d64 - val_loss__MIN","linear-lr001-d64 - val_loss__MAX","linear-lr001-d56 - _step","linear-lr001-d56 - _step__MIN","linear-lr001-d56 - _step__MAX","linear-lr001-d56 - val_loss","linear-lr001-d56 - val_loss__MIN","linear-lr001-d56 - val_loss__MAX","linear-lr001-d48 - _step","linear-lr001-d48 - _step__MIN","linear-lr001-d48 - _step__MAX","linear-lr001-d48 - val_loss","linear-lr001-d48 - val_loss__MIN","linear-lr001-d48 - val_loss__MAX","linear-lr001-d40 - _step","linear-lr001-d40 - _step__MIN","linear-lr001-d40 - _step__MAX","linear-lr001-d40 - val_loss","linear-lr001-d40 - val_loss__MIN","linear-lr001-d40 - val_loss__MAX","linear-lr001-d32 - _step","linear-lr001-d32 - _step__MIN","linear-lr001-d32 - _step__MAX","linear-lr001-d32 - val_loss","linear-lr001-d32 - val_loss__MIN","linear-lr001-d32 - val_loss__MAX","linear-lr001-d24 - _step","linear-lr001-d24 - _step__MIN","linear-lr001-d24 - _step__MAX","linear-lr001-d24 - val_loss","linear-lr001-d24 - val_loss__MIN","linear-lr001-d24 - val_loss__MAX","linear-lr001-d16 - _step","linear-lr001-d16 - _step__MIN","linear-lr001-d16 - _step__MAX","linear-lr001-d16 - val_loss","linear-lr001-d16 - val_loss__MIN","linear-lr001-d16 - val_loss__MAX","linear-lr001 - _step","linear-lr001 - _step__MIN","linear-lr001 - _step__MAX","linear-lr001 - val_loss","linear-lr001 - val_loss__MIN","linear-lr001 - val_loss__MAX"
"14472","","","","","","","","","","","","","","","","","","","618","618","618","0.0614822693169117","0.0614822693169117","0.0614822693169117","618","618","618","0.06962928175926208","0.06962928175926208","0.06962928175926208","618","618","618","0.07863122969865799","0.07863122969865799","0.07863122969865799","618","618","618","0.09346453845500946","0.09346453845500946","0.09346453845500946","618","618","618","0.11938931792974472","0.11938931792974472","0.11938931792974472"
"14825","","","","","","","","","","","","","","","","","","","634","634","634","0.060912005603313446","0.060912005603313446","0.060912005603313446","634","634","634","0.069139264523983","0.069139264523983","0.069139264523983","634","634","634","0.07867752015590668","0.07867752015590668","0.07867752015590668","634","634","634","0.09339859336614609","0.09339859336614609","0.09339859336614609","634","634","634","0.11918807029724121","0.11918807029724121","0.11918807029724121"
"15178","","","","","","","","","","","","","","","","","","","649","649","649","0.06100793555378914","0.06100793555378914","0.06100793555378914","649","649","649","0.0691315159201622","0.0691315159201622","0.0691315159201622","649","649","649","0.07855144888162613","0.07855144888162613","0.07855144888162613","649","649","649","0.09320756047964096","0.09320756047964096","0.09320756047964096","649","649","649","0.11944924294948578","0.11944924294948578","0.11944924294948578"
"15531","","","","","","","","","","","","","","","","","","","664","664","664","0.06072574481368065","0.06072574481368065","0.06072574481368065","664","664","664","0.06917586177587509","0.06917586177587509","0.06917586177587509","664","664","664","0.0785193219780922","0.0785193219780922","0.0785193219780922","664","664","664","0.09347959607839584","0.09347959607839584","0.09347959607839584","664","664","664","0.11910303682088852","0.11910303682088852","0.11910303682088852"
"15884","","","","","","","","","","","","","","","","","","","679","679","679","0.06068845093250275","0.06068845093250275","0.06068845093250275","679","679","679","0.06924845278263092","0.06924845278263092","0.06924845278263092","679","679","679","0.07860765606164932","0.07860765606164932","0.07860765606164932","679","679","679","0.09292521327733994","0.09292521327733994","0.09292521327733994","679","679","679","0.11894533038139343","0.11894533038139343","0.11894533038139343"
"16237","","","","","","","","","","","","","","","","","","","694","694","694","0.06059296429157257","0.06059296429157257","0.06059296429157257","694","694","694","0.07177754491567612","0.07177754491567612","0.07177754491567612","694","694","694","0.07898414134979248","0.07898414134979248","0.07898414134979248","694","694","694","0.09323578327894211","0.09323578327894211","0.09323578327894211","694","694","694","0.11904263496398926","0.11904263496398926","0.11904263496398926"
"16590","","","","","","","","","","","","","","","","","","","709","709","709","0.06049656495451927","0.06049656495451927","0.06049656495451927","709","709","709","0.07036659866571426","0.07036659866571426","0.07036659866571426","709","709","709","0.07839877158403397","0.07839877158403397","0.07839877158403397","709","709","709","0.09286290407180786","0.09286290407180786","0.09286290407180786","709","709","709","0.11889989674091339","0.11889989674091339","0.11889989674091339"
"16943","","","","","","","","","","","","","","","","","","","724","724","724","0.06376927345991135","0.06376927345991135","0.06376927345991135","724","724","724","0.06926842778921127","0.06926842778921127","0.06926842778921127","724","724","724","0.079035684466362","0.079035684466362","0.079035684466362","724","724","724","0.09272339940071106","0.09272339940071106","0.09272339940071106","724","724","724","0.11879238486289978","0.11879238486289978","0.11879238486289978"
"17296","","","","","","","","","","","","","","","","","","","739","739","739","0.060162417590618134","0.060162417590618134","0.060162417590618134","739","739","739","0.06911760568618774","0.06911760568618774","0.06911760568618774","739","739","739","0.07842201739549637","0.07842201739549637","0.07842201739549637","739","739","739","0.09264353662729263","0.09264353662729263","0.09264353662729263","739","739","739","0.11876832693815231","0.11876832693815231","0.11876832693815231"
"17649","","","","","","","","","","","","","","","","","","","755","755","755","0.06074005365371704","0.06074005365371704","0.06074005365371704","755","755","755","0.06981949508190155","0.06981949508190155","0.06981949508190155","755","755","755","0.07832299917936325","0.07832299917936325","0.07832299917936325","755","755","755","0.09257952123880386","0.09257952123880386","0.09257952123880386","755","755","755","0.11865047365427017","0.11865047365427017","0.11865047365427017"
